Celebrity,Type,Establishment,Location,Ward,Type,Month
Aziz Ansari,Actor,Whales of August,Shibuya,Shibuya-ku,Bar,December
Diplo,Musician,Womb,Shibuya,Shibuya-ku,Club,November
Anthony Bourdain,TV Personality,XEX Morimoto,Roppongi,Minato-ku,Restaurant,
Justin Bieber,Musician,Yaesu shopping mall,Tokyo,Chuo-ku,Shopping,August
Sofia Richie,Model,Yaesu shopping mall,Tokyo,Chuo-ku,Shopping,August
Aziz Ansari,Actor,Yakumo Saryo,Meguro,Meguro-ku,Restaurant,May
Justin Bieber,Musician,Yasukuni Shrine,Kudankita,Chiyoda-ku,Landmark,April
David Beckham,Athlete,Yayoi Kusama Museum,Bentencho,Shinjuku-ku,Museum,May
Kacey Musgraves,Musician,Yayoi Kusama Museum,Bentencho,Shinjuku-ku,Museum,May
Rihanna,Musician,Yoyogi National Stadium,Yoyogi,Shibuya-ku,Landmark,April
Conan O'Brien,TV Personality,Yoyogi Park,Yoyogi,Shibuya-ku,Park,September
Matt Bellamy,Musician,Yumenoya Kimono Rental,Asakusa,Taito-ku,Shopping,November
Shawn Mendez,Musician,zero Tokyo,Ginza,Chuo-ku,Restaurant,February
Britney Spears,Musician,Zōjō-ji,Shibakoen,Minato-ku,Landmark,June
